Time[s];Supply_P[bar];EPU_P[bar];R1_P[bar];R2_P[bar];R3_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.0003;6.0000;0.0000;0.0735;0.0000;0.0000;0.0000;0.0000;0.0000
0.0013;6.0000;0.0000;0.3706;0.0000;0.0000;0.0000;0.0000;0.0000
0.0023;6.0000;0.0000;0.6685;0.0000;0.0000;0.0000;0.0000;0.0000
0.0033;6.0000;0.0000;0.9645;0.0000;0.0000;0.0000;0.0000;0.0000
0.0043;6.0000;0.0000;1.2561;0.0000;0.0000;0.0000;0.0000;0.0000
0.0053;6.0000;0.0000;1.5413;0.0000;0.0000;0.0000;0.0000;0.0000
0.0063;6.0000;0.0000;1.8181;0.0000;0.0000;0.0000;0.0000;0.0000
0.0073;6.0000;0.0000;2.0848;0.0000;0.0000;0.0000;0.0000;0.0000
0.0083;6.0000;0.0000;2.3400;0.0000;0.0000;0.0000;0.0000;0.0000
0.0093;6.0000;0.0000;2.5827;0.0000;0.0000;0.0000;0.0000;0.0000
0.0103;6.0000;0.0000;2.8118;0.0000;0.0000;0.0000;0.0000;0.0000
0.0113;6.0000;0.0000;3.0268;0.0000;0.0000;0.0000;0.0000;0.0000
0.0123;6.0000;0.0000;3.2273;0.0000;0.0000;0.0000;0.0000;0.0000
0.0133;6.0000;0.0000;3.4131;0.0000;0.0000;0.0000;0.0000;0.0000
0.0143;6.0000;0.0000;3.5844;0.0000;0.0000;0.0000;0.0000;0.0000
0.0153;6.0000;0.0000;3.7413;0.0000;0.0000;0.0000;0.0000;0.0000
0.0163;6.0000;0.0000;3.8842;0.0000;0.0000;0.0000;0.0000;0.0000
0.0173;6.0000;0.0000;4.0137;0.0000;0.0000;0.0000;0.0000;0.0000
0.0183;6.0000;0.0000;4.1305;0.0000;0.0000;0.0000;0.0000;0.0000
0.0193;6.0000;0.0000;4.2352;0.0000;0.0000;0.0000;0.0000;0.0000
0.0203;6.0000;0.0000;4.3288;0.0000;0.0000;0.0000;0.0000;0.0000
0.0213;6.0000;0.0000;4.4119;0.0000;0.0000;0.0000;0.0000;0.0000
0.0223;6.0000;0.0000;4.4856;0.0000;0.0000;0.0000;0.0000;0.0000
0.0233;6.0000;0.0000;4.5505;0.0000;0.0000;0.0000;0.0000;0.0000
0.0243;6.0000;0.0000;4.6076;0.0000;0.0000;0.0000;0.0000;0.0000
0.0253;6.0000;0.0000;4.6576;0.0000;0.0000;0.0000;0.0000;0.0000
0.0263;6.0000;0.0000;4.7013;0.0000;0.0000;0.0000;0.0000;0.0000
0.0273;6.0000;0.0000;4.7393;0.0000;0.0000;0.0000;0.0000;0.0000
0.0283;6.0000;0.0000;4.7723;0.0000;0.0000;0.0000;0.0000;0.0000
0.0293;6.0000;0.0000;4.8010;0.0000;0.0000;0.0000;0.0000;0.0000
0.0303;6.0000;0.0000;4.8258;0.0000;0.0000;0.0000;0.0000;0.0000
0.0313;6.0000;0.0000;4.8472;0.0000;0.0000;0.0000;0.0000;0.0000
0.0323;6.0000;0.0000;4.8656;0.0000;0.0000;0.0000;0.0000;0.0000
0.0333;6.0000;0.0000;4.8815;0.0000;0.0000;0.0000;0.0000;0.0000
0.0343;6.0000;0.0000;4.8952;0.0000;0.0000;0.0000;0.0000;0.0000
0.0353;6.0000;0.0000;4.9069;0.0000;0.0000;0.0000;0.0000;0.0000
0.0363;6.0000;0.0000;4.9170;0.0000;0.0000;0.0000;0.0000;0.0000
0.0373;6.0000;0.0000;4.9257;0.0000;0.0000;0.0000;0.0000;0.0000
0.0383;6.0000;0.0000;4.9331;0.0000;0.0000;0.0000;0.0000;0.0000
0.0393;6.0000;0.0000;4.9394;0.0000;0.0000;0.0000;0.0000;0.0000
0.0403;6.0000;0.0000;4.9449;0.0000;0.0000;0.0000;0.0000;0.0000
0.0413;6.0000;0.0000;4.9495;0.0000;0.0000;0.0000;0.0000;0.0000
0.0423;6.0000;0.0000;4.9535;0.0000;0.0000;0.0000;0.0000;0.0000
0.0433;6.0000;0.0000;4.9569;0.0000;0.0000;0.0000;0.0000;0.0000
0.0443;6.0000;0.0000;4.9598;0.0000;0.0000;0.0000;0.0000;0.0000
0.0453;6.0000;0.0000;4.9623;0.0000;0.0000;0.0000;0.0000;0.0000
0.0463;6.0000;0.0000;4.9644;0.0000;0.0000;0.0000;0.0000;0.0000
0.0473;6.0000;0.0000;4.9663;0.0000;0.0000;0.0000;0.0000;0.0000
0.0483;6.0000;0.0000;4.9678;0.0000;0.0000;0.0000;0.0000;0.0000
0.0493;6.0000;0.0000;4.9691;0.0000;0.0000;0.0000;0.0000;0.0000
0.0503;6.0000;0.0000;4.9703;0.0000;0.0000;0.0000;0.0000;0.0000
0.0513;6.0000;0.0000;4.9712;0.0000;0.0000;0.0000;0.0000;0.0000
0.0523;6.0000;0.0000;4.9721;0.0000;0.0000;0.0000;0.0000;0.0000
0.0533;6.0000;0.0000;4.9728;0.0000;0.0000;0.0000;0.0000;0.0000
0.0543;6.0000;0.0000;4.9734;0.0000;0.0000;0.0000;0.0000;0.0000
0.0553;6.0000;0.0000;4.9739;0.0000;0.0000;0.0000;0.0000;0.0000
0.0563;6.0000;0.0000;4.9743;0.0000;0.0000;0.0000;0.0000;0.0000
0.0573;6.0000;0.0000;4.9747;0.0000;0.0000;0.0000;0.0000;0.0000
0.0583;6.0000;0.0000;4.9750;0.0000;0.0000;0.0000;0.0000;0.0000
0.0593;6.0000;0.0000;4.9753;0.0000;0.0000;0.0000;0.0000;0.0000
0.0603;6.0000;0.0000;4.9755;0.0000;0.0000;0.0000;0.0000;0.0000
0.0613;6.0000;0.0000;4.9757;0.0000;0.0000;0.0000;0.0000;0.0000
0.0623;6.0000;0.0000;4.9759;0.0000;0.0000;0.0000;0.0000;0.0000
0.0633;6.0000;0.0000;4.9761;0.0000;0.0000;0.0000;0.0000;0.0000
0.0643;6.0000;0.0000;4.9762;0.0000;0.0000;0.0000;0.0000;0.0000
0.0653;6.0000;0.0000;4.9763;0.0000;0.0000;0.0000;0.0000;0.0000
0.0663;6.0000;0.0000;4.9764;0.0000;0.0000;0.0000;0.0000;0.0000
0.0673;6.0000;0.0000;4.9765;0.0000;0.0000;0.0000;0.0000;0.0000
0.0683;6.0000;0.0000;4.9765;0.0000;0.0000;0.0000;0.0000;0.0000
0.0693;6.0000;0.0000;4.9766;0.0000;0.0000;0.0000;0.0000;0.0000
0.0703;6.0000;0.0000;4.9766;0.0000;0.0000;0.0000;0.0000;0.0000
0.0713;6.0000;0.0000;4.9767;0.0000;0.0000;0.0000;0.0000;0.0000
0.0723;6.0000;0.0000;4.9767;0.0000;0.0000;0.0000;0.0000;0.0000
0.0733;6.0000;0.0000;4.9767;0.0000;0.0000;0.0000;0.0000;0.0000
0.0743;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0753;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0763;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0773;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0783;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0793;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0803;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0813;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0823;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0833;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0843;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0853;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0863;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0873;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0883;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0893;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0903;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0913;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0923;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
