Time[s];Supply_P[bar];R1_P[bar];EPU_P[bar];T1_P[bar]
0.0003;10.0000;0.0000;0.0000;0.0000
0.0013;10.0000;0.0000;0.0000;0.0000
0.0023;10.0000;0.0000;0.0000;0.0000
0.0033;10.0000;0.0000;0.0000;0.0000
0.0043;10.0000;0.0000;0.0000;0.0000
0.0053;10.0000;0.0000;0.0000;0.0000
0.0063;10.0000;0.0000;0.0000;0.0000
0.0073;10.0000;0.0000;0.0000;0.0000
0.0083;10.0000;0.0000;0.0000;0.0000
0.0093;10.0000;0.0000;0.0000;0.0000
0.0103;10.0000;0.0000;0.0000;0.0000
0.0113;10.0000;0.0000;0.0000;0.0000
0.0123;10.0000;0.0000;0.0000;0.0000
0.0133;10.0000;0.0000;0.0000;0.0000
0.0143;10.0000;0.0000;0.0000;0.0000
0.0153;10.0000;0.0000;0.0000;0.0000
0.0163;10.0000;0.0000;0.0000;0.0000
0.0173;10.0000;0.0000;0.0000;0.0000
0.0183;10.0000;0.0000;0.0000;0.0000
0.0193;10.0000;0.0000;0.0000;0.0000
0.0203;10.0000;0.0000;0.0000;0.0000
0.0213;10.0000;0.0000;0.0000;0.0000
0.0223;10.0000;0.0000;0.0000;0.0000
0.0233;10.0000;0.0000;0.0000;0.0000
0.0243;10.0000;0.0000;0.0000;0.0000
0.0253;10.0000;0.0000;0.0000;0.0000
0.0263;10.0000;0.0000;0.0000;0.0000
0.0273;10.0000;0.0000;0.0000;0.0000
0.0283;10.0000;0.0000;0.0000;0.0000
0.0293;10.0000;0.0000;0.0000;0.0000
0.0303;10.0000;0.0000;0.0000;0.0000
0.0313;10.0000;0.0000;0.0000;0.0000
0.0323;10.0000;0.0000;0.0000;0.0000
0.0333;10.0000;0.0000;0.0000;0.0000
0.0343;10.0000;0.0000;0.0000;0.0000
0.0353;10.0000;0.0000;0.0000;0.0000
0.0363;10.0000;0.0000;0.0000;0.0000
0.0373;10.0000;0.0000;0.0000;0.0000
0.0383;10.0000;0.0000;0.0000;0.0000
0.0393;10.0000;0.0000;0.0000;0.0000
0.0403;10.0000;0.0000;0.0000;0.0000
0.0413;10.0000;0.0000;0.0000;0.0000
0.0423;10.0000;0.0000;0.0000;0.0000
0.0433;10.0000;0.0000;0.0000;0.0000
0.0443;10.0000;0.0000;0.0000;0.0000
0.0453;10.0000;0.0000;0.0000;0.0000
0.0463;10.0000;0.0000;0.0000;0.0000
0.0473;10.0000;0.0000;0.0000;0.0000
0.0483;10.0000;0.0000;0.0000;0.0000
0.0493;10.0000;0.0000;0.0000;0.0000
0.0503;10.0000;0.0000;0.0000;0.0000
0.0513;10.0000;0.0000;0.0000;0.0000
0.0523;10.0000;0.0000;0.0000;0.0000
0.0533;10.0000;0.0000;0.0000;0.0000
0.0543;10.0000;0.0000;0.0000;0.0000
0.0553;10.0000;0.0000;0.0000;0.0000
0.0563;10.0000;0.0000;0.0000;0.0000
0.0573;10.0000;0.0000;0.0000;0.0000
0.0583;10.0000;0.0000;0.0000;0.0000
