Time[s];Supply_P[bar];Exhaust_P[bar];CV1_P[bar];R1_P[bar];R2_P[bar];Junction_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.0003;6.0000;0.0000;0.0000;0.0249;0.0000;0.0000;0.0000;0.0000;0.0000
0.0013;6.0000;0.0000;0.0000;0.3497;0.0000;0.0000;0.0000;0.0000;0.0000
0.0023;6.0000;0.0000;0.0000;0.9854;0.0000;0.0000;0.0000;0.0000;0.0000
0.0033;6.0000;0.0000;0.0000;1.8757;0.0000;0.0000;0.0000;0.0000;0.0000
0.0043;6.0000;0.0000;0.0000;2.9744;0.0000;0.0000;0.0000;0.0000;0.0000
0.0053;6.0000;0.0000;0.0000;4.2437;0.0000;0.0000;0.0000;0.0000;0.0000
0.0063;6.0000;0.0000;0.0000;5.6528;0.0000;0.0000;0.0000;0.0000;0.0000
0.0073;6.0000;0.0000;0.0000;6.9345;0.0000;0.0000;0.0000;0.0000;0.0000
0.0083;6.0000;0.0000;0.0000;7.6458;0.0000;0.0000;0.0000;0.0000;0.0000
0.0093;6.0000;0.0000;0.0000;7.8584;0.0000;0.0000;0.0000;0.0000;0.0000
0.0103;6.0000;0.0000;0.0000;7.6049;0.0000;0.0000;0.0000;0.0000;0.0000
0.0113;6.0000;0.0000;0.0000;6.9549;0.0000;0.0000;0.0000;0.0000;0.0000
0.0123;6.0000;0.0000;0.0000;6.0840;0.0000;0.0000;0.0000;0.0000;0.0000
0.0133;6.0000;0.0000;0.0000;5.4050;0.0000;0.0000;0.0000;0.0000;0.0000
0.0143;6.0000;0.0000;0.0000;5.1846;0.0000;0.0000;0.0000;0.0000;0.0000
0.0153;6.0000;0.0000;0.0000;5.3511;0.0000;0.0000;0.0000;0.0000;0.0000
0.0163;6.0000;0.0000;0.0000;5.8284;0.0000;0.0000;0.0000;0.0000;0.0000
0.0173;6.0000;0.0000;0.0000;6.3441;0.0000;0.0000;0.0000;0.0000;0.0000
0.0183;6.0000;0.0000;0.0000;6.5302;0.0000;0.0000;0.0000;0.0000;0.0000
0.0193;6.0000;0.0000;0.0000;6.3556;0.0000;0.0000;0.0000;0.0000;0.0000
0.0203;6.0000;0.0000;0.0000;5.9596;0.0000;0.0000;0.0000;0.0000;0.0000
0.0213;6.0000;0.0000;0.0000;5.6923;0.0000;0.0000;0.0000;0.0000;0.0000
0.0223;6.0000;0.0000;0.0000;5.7064;0.0000;0.0000;0.0000;0.0000;0.0000
0.0233;6.0000;0.0000;0.0000;5.9472;0.0000;0.0000;0.0000;0.0000;0.0000
0.0243;6.0000;0.0000;0.0000;6.1920;0.0000;0.0000;0.0000;0.0000;0.0000
0.0253;6.0000;0.0000;0.0000;6.2094;0.0000;0.0000;0.0000;0.0000;0.0000
0.0263;6.0000;0.0000;0.0000;6.0270;0.0000;0.0000;0.0000;0.0000;0.0000
0.0273;6.0000;0.0000;0.0000;5.8525;0.0000;0.0000;0.0000;0.0000;0.0000
0.0283;6.0000;0.0000;0.0000;5.8691;0.0000;0.0000;0.0000;0.0000;0.0000
0.0293;6.0000;0.0000;0.0000;6.0308;0.0000;0.0000;0.0000;0.0000;0.0000
0.0303;6.0000;0.0000;0.0000;6.1238;0.0000;0.0000;0.0000;0.0000;0.0000
0.0313;6.0000;0.0000;0.0000;6.0516;0.0000;0.0000;0.0000;0.0000;0.0000
0.0323;6.0000;0.0000;0.0000;5.9238;0.0000;0.0000;0.0000;0.0000;0.0000
0.0333;6.0000;0.0000;0.0000;5.9257;0.0000;0.0000;0.0000;0.0000;0.0000
0.0343;6.0000;0.0000;0.0000;6.0321;0.0000;0.0000;0.0000;0.0000;0.0000
0.0353;6.0000;0.0000;0.0000;6.0656;0.0000;0.0000;0.0000;0.0000;0.0000
0.0363;6.0000;0.0000;0.0000;5.9890;0.0000;0.0000;0.0000;0.0000;0.0000
0.0373;6.0000;0.0000;0.0000;5.9472;0.0000;0.0000;0.0000;0.0000;0.0000
0.0383;6.0000;0.0000;0.0000;6.0054;0.0000;0.0000;0.0000;0.0000;0.0000
0.0393;6.0000;0.0000;0.0000;6.0402;0.0000;0.0000;0.0000;0.0000;0.0000
0.0403;6.0000;0.0000;0.0000;5.9894;0.0000;0.0000;0.0000;0.0000;0.0000
0.0413;6.0000;0.0000;0.0000;5.9694;0.0000;0.0000;0.0000;0.0000;0.0000
0.0423;6.0000;0.0000;0.0000;6.0170;0.0000;0.0000;0.0000;0.0000;0.0000
0.0433;6.0000;0.0000;0.0000;6.0172;0.0000;0.0000;0.0000;0.0000;0.0000
0.0443;6.0000;0.0000;0.0000;5.9789;0.0000;0.0000;0.0000;0.0000;0.0000
0.0453;6.0000;0.0000;0.0000;5.9995;0.0000;0.0000;0.0000;0.0000;0.0000
0.0463;6.0000;0.0000;0.0000;6.0179;0.0000;0.0000;0.0000;0.0000;0.0000
0.0473;6.0000;0.0000;0.0000;5.9866;0.0000;0.0000;0.0000;0.0000;0.0000
0.0483;6.0000;0.0000;0.0000;5.9958;0.0000;0.0000;0.0000;0.0000;0.0000
0.0493;6.0000;0.0000;0.0000;6.0136;0.0000;0.0000;0.0000;0.0000;0.0000
0.0503;6.0000;0.0000;0.0000;5.9891;0.0000;0.0000;0.0000;0.0000;0.0000
0.0513;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0523;6.0000;0.0000;0.0000;6.0088;0.0000;0.0000;0.0000;0.0000;0.0000
0.0533;6.0000;0.0000;0.0000;5.9903;0.0000;0.0000;0.0000;0.0000;0.0000
0.0543;6.0000;0.0000;0.0000;6.0056;0.0000;0.0000;0.0000;0.0000;0.0000
0.0553;6.0000;0.0000;0.0000;5.9989;0.0000;0.0000;0.0000;0.0000;0.0000
0.0563;6.0000;0.0000;0.0000;5.9980;0.0000;0.0000;0.0000;0.0000;0.0000
0.0573;6.0000;0.0000;0.0000;6.0035;0.0000;0.0000;0.0000;0.0000;0.0000
0.0583;6.0000;0.0000;0.0000;5.9956;0.0000;0.0000;0.0000;0.0000;0.0000
0.0593;6.0000;0.0000;0.0000;6.0043;0.0000;0.0000;0.0000;0.0000;0.0000
0.0603;6.0000;0.0000;0.0000;5.9965;0.0000;0.0000;0.0000;0.0000;0.0000
0.0613;6.0000;0.0000;0.0000;6.0027;0.0000;0.0000;0.0000;0.0000;0.0000
0.0623;6.0000;0.0000;0.0000;5.9980;0.0000;0.0000;0.0000;0.0000;0.0000
0.0633;6.0000;0.0000;0.0000;6.0016;0.0000;0.0000;0.0000;0.0000;0.0000
0.0643;6.0000;0.0000;0.0000;5.9995;0.0000;0.0000;0.0000;0.0000;0.0000
0.0653;6.0000;0.0000;0.0000;5.9994;0.0000;0.0000;0.0000;0.0000;0.0000
0.0663;6.0000;0.0000;0.0000;6.0010;0.0000;0.0000;0.0000;0.0000;0.0000
0.0673;6.0000;0.0000;0.0000;5.9995;0.0000;0.0000;0.0000;0.0000;0.0000
0.0683;6.0000;0.0000;0.0000;5.9993;0.0000;0.0000;0.0000;0.0000;0.0000
0.0693;6.0000;0.0000;0.0000;6.0003;0.0000;0.0000;0.0000;0.0000;0.0000
0.0703;6.0000;0.0000;0.0000;6.0004;0.0000;0.0000;0.0000;0.0000;0.0000
0.0713;6.0000;0.0000;0.0000;6.0003;0.0000;0.0000;0.0000;0.0000;0.0000
0.0723;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0733;6.0000;0.0000;0.0000;6.0002;0.0000;0.0000;0.0000;0.0000;0.0000
0.0743;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.0753;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0763;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.0773;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0783;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0793;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0803;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0813;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0823;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0833;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0843;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0853;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0863;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0873;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0883;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0893;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0903;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0913;6.0000;0.0000;0.0000;6.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0.0923;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0933;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0943;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0953;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0963;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0973;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0983;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.0993;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1003;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1013;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1023;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1033;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1043;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1053;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1063;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1073;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1083;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1093;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1103;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1113;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1123;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1133;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1143;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1153;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1163;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1173;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1183;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1193;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1203;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1213;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1223;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1233;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1243;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1253;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1263;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
