Time[s];Supply_P[bar];R1_P[bar];T1_P[bar]
0.0003;6.0000;0.0249;0.0000
0.0013;6.0000;0.3475;0.0000
0.0023;6.0000;0.9508;0.0005
0.0033;6.0000;1.7094;0.0026
0.0043;6.0000;2.5091;0.0073
0.0053;6.0000;3.2660;0.0154
0.0063;6.0000;3.9302;0.0271
0.0073;6.0000;4.4809;0.0423
0.0083;6.0000;4.9176;0.0609
0.0093;6.0000;5.2514;0.0822
0.0103;6.0000;5.4927;0.1059
0.0113;6.0000;5.6195;0.1314
0.0123;6.0000;5.6331;0.1581
0.0133;6.0000;5.5738;0.1853
0.0143;6.0000;5.4922;0.2126
0.0153;6.0000;5.4250;0.2400
0.0163;6.0000;5.3875;0.2674
0.0173;6.0000;5.3790;0.2949
0.0183;6.0000;5.3898;0.3227
0.0193;6.0000;5.4087;0.3507
0.0203;6.0000;5.4266;0.3789
0.0213;6.0000;5.4385;0.4074
0.0223;6.0000;5.4432;0.4360
0.0233;6.0000;5.4424;0.4647
0.0243;6.0000;5.4386;0.4935
0.0253;6.0000;5.4343;0.5222
0.0263;6.0000;5.4310;0.5511
0.0273;6.0000;5.4292;0.5799
0.0283;6.0000;5.4290;0.6088
0.0293;6.0000;5.4296;0.6376
0.0303;6.0000;5.4306;0.6665
0.0313;6.0000;5.4315;0.6955
0.0323;6.0000;5.4320;0.7244
0.0333;6.0000;5.4322;0.7534
0.0343;6.0000;5.4321;0.7824
0.0353;6.0000;5.4319;0.8113
0.0363;6.0000;5.4317;0.8403
0.0373;6.0000;5.4315;0.8693
0.0383;6.0000;5.4315;0.8983
0.0393;6.0000;5.4315;0.9273
0.0403;6.0000;5.4315;0.9563
0.0413;6.0000;5.4315;0.9853
0.0423;6.0000;5.4316;1.0143
0.0433;6.0000;5.4316;1.0433
0.0443;6.0000;5.4316;1.0723
0.0453;6.0000;5.4316;1.1013
0.0463;6.0000;5.4316;1.1303
0.0473;6.0000;5.4316;1.1593
0.0483;6.0000;5.4316;1.1883
0.0493;6.0000;5.4316;1.2173
0.0503;6.0000;5.4316;1.2463
0.0513;6.0000;5.4316;1.2753
0.0523;6.0000;5.4316;1.3043
0.0533;6.0000;5.4316;1.3333
0.0543;6.0000;5.4316;1.3624
0.0553;6.0000;5.4316;1.3914
0.0563;6.0000;5.4316;1.4204
0.0573;6.0000;5.4316;1.4494
0.0583;6.0000;5.4316;1.4784
0.0593;6.0000;5.4316;1.5074
0.0603;6.0000;5.4316;1.5364
0.0613;6.0000;5.4316;1.5654
0.0623;6.0000;5.4316;1.5944
0.0633;6.0000;5.4316;1.6234
0.0643;6.0000;5.4316;1.6524
0.0653;6.0000;5.4316;1.6814
0.0663;6.0000;5.4316;1.7105
0.0673;6.0000;5.4316;1.7395
0.0683;6.0000;5.4316;1.7685
0.0693;6.0000;5.4316;1.7975
0.0703;6.0000;5.4316;1.8265
0.0713;6.0000;5.4316;1.8555
0.0723;6.0000;5.4316;1.8845
0.0733;6.0000;5.4316;1.9135
0.0743;6.0000;5.4316;1.9425
0.0753;6.0000;5.4316;1.9715
0.0763;6.0000;5.4316;2.0005
0.0773;6.0000;5.4316;2.0295
0.0783;6.0000;5.4316;2.0586
0.0793;6.0000;5.4316;2.0876
0.0803;6.0000;5.4316;2.1166
0.0813;6.0000;5.4316;2.1456
0.0823;6.0000;5.4316;2.1746
0.0833;6.0000;5.4316;2.2036
0.0843;6.0000;5.4316;2.2326
0.0853;6.0000;5.4316;2.2616
0.0863;6.0000;5.4316;2.2906
0.0873;6.0000;5.4316;2.3196
0.0883;6.0000;5.4316;2.3486
0.0893;6.0000;5.4316;2.3776
0.0903;6.0000;5.4316;2.4067
0.0913;6.0000;5.4316;2.4357
0.0923;6.0000;5.4316;2.4647
0.0933;6.0000;5.4316;2.4937
0.0943;6.0000;5.4316;2.5227
0.0953;6.0000;5.4316;2.5517
0.0963;6.0000;5.4316;2.5807
0.0973;6.0000;5.4316;2.6097
0.0983;6.0000;5.4316;2.6387
0.0993;6.0000;5.4316;2.6677
0.1003;6.0000;5.4316;2.6967
0.1013;6.0000;5.4316;2.7258
0.1023;6.0000;5.4316;2.7548
