Time[s];Supply_P[bar];Exhaust_P[bar];R1_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.0003;6.0000;0.0000;0.0073;0.0000;0.0000;0.0000
0.0013;6.0000;0.0000;0.0368;0.0000;0.0000;0.0000
0.0023;6.0000;0.0000;0.0663;0.0000;0.0000;0.0000
0.0033;6.0000;0.0000;0.0959;0.0000;0.0000;0.0000
0.0043;6.0000;0.0000;0.1255;0.0000;0.0000;0.0000
0.0053;6.0000;0.0000;0.1552;0.0000;0.0000;0.0000
0.0063;6.0000;0.0000;0.1850;0.0000;0.0000;0.0000
0.0073;6.0000;0.0000;0.2149;0.0000;0.0000;0.0000
0.0083;6.0000;0.0000;0.2448;0.0000;0.0000;0.0000
0.0093;6.0000;0.0000;0.2748;0.0000;0.0000;0.0000
0.0103;6.0000;0.0000;0.3048;0.0000;0.0000;0.0000
0.0113;6.0000;0.0000;0.3350;0.0000;0.0000;0.0000
0.0123;6.0000;0.0000;0.3651;0.0000;0.0000;0.0000
0.0133;6.0000;0.0000;0.3954;0.0000;0.0000;0.0000
0.0143;6.0000;0.0000;0.4257;0.0000;0.0000;0.0000
0.0153;6.0000;0.0000;0.4561;0.0000;0.0000;0.0000
0.0163;6.0000;0.0000;0.4865;0.0000;0.0000;0.0000
0.0173;6.0000;0.0000;0.5170;0.0000;0.0000;0.0000
0.0183;6.0000;0.0000;0.5475;0.0000;0.0000;0.0000
0.0193;6.0000;0.0000;0.5781;0.0000;0.0000;0.0000
0.0203;6.0000;0.0000;0.6088;0.0000;0.0000;0.0000
0.0213;6.0000;0.0000;0.6395;0.0000;0.0000;0.0000
0.0223;6.0000;0.0000;0.6702;0.0000;0.0000;0.0000
0.0233;6.0000;0.0000;0.7011;0.0000;0.0000;0.0000
0.0243;6.0000;0.0000;0.7319;0.0000;0.0000;0.0000
0.0253;6.0000;0.0000;0.7628;0.0000;0.0000;0.0000
0.0263;6.0000;0.0000;0.7938;0.0000;0.0000;0.0000
0.0273;6.0000;0.0000;0.8248;0.0000;0.0000;0.0000
0.0283;6.0000;0.0000;0.8559;0.0000;0.0000;0.0000
0.0293;6.0000;0.0000;0.8870;0.0000;0.0000;0.0000
0.0303;6.0000;0.0000;0.9182;0.0000;0.0000;0.0000
0.0313;6.0000;0.0000;0.9494;0.0000;0.0000;0.0000
0.0323;6.0000;0.0000;0.9806;0.0000;0.0000;0.0000
0.0333;6.0000;0.0000;1.0119;0.0000;0.0000;0.0000
0.0343;6.0000;0.0000;1.0433;0.0000;0.0000;0.0000
0.0353;6.0000;0.0000;1.0747;0.0000;0.0000;0.0000
0.0363;6.0000;0.0000;1.1061;0.0000;0.0000;0.0000
0.0373;6.0000;0.0000;1.1375;0.0000;0.0000;0.0000
0.0383;6.0000;0.0000;1.1690;0.0000;0.0000;0.0000
0.0393;6.0000;0.0000;1.2005;0.0000;0.0000;0.0000
0.0403;6.0000;0.0000;1.2321;0.0000;0.0000;0.0000
0.0413;6.0000;0.0000;1.2637;0.0000;0.0000;0.0000
